Count,Expected Results,Variable Count,Clause Count,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First,Function Name,State,Variable Evaluations,Solutions Count,Difference From First
1,1,20,90,SmallToLarge-1,2,24,1,inf,SmallToLarge-1,-1,13,0,inf,SmallToLarge-2,-1,13,0,inf,LargeToSmall-1,-1,24,0,inf,ClauseSize-1,-1,12,0,inf,ClauseSize-2,-1,7,0,inf,ClauseSize-3,-1,7,0,inf,ClauseSize-4,-1,6,0,inf,ClauseSize-5,-1,0,0,-nan(ind),ClauseSize-6,-1,0,0,-nan(ind),ClauseSize-7,-1,0,0,-nan(ind),ClauseSize-8,-1,0,0,-nan(ind),Score-1,-1,0,0,-nan(ind),Score-2,-1,0,0,-nan(ind),Score-3,-1,0,0,-nan(ind),Score-4,-1,0,0,-nan(ind),Score-5,-1,0,0,-nan(ind),Score-6,-1,0,0,-nan(ind),Score-7,-1,0,0,-nan(ind),Score-8,-1,0,0,-nan(ind),Score-9,-1,0,0,-nan(ind),Score-10,-1,0,0,-nan(ind),Score-11,-1,0,0,-nan(ind),ScoreQuick-1,-1,0,0,-nan(ind),ScoreQuick-2,-1,0,0,-nan(ind),ScoreQuick-3,-1,0,0,-nan(ind),ScoreQuick-4,-1,0,0,-nan(ind),ScoreQuick-5,-1,0,0,-nan(ind),ScoreQuick-6,-1,0,0,-nan(ind),ScoreQuick-7,-1,0,0,-nan(ind),ScoreQuick-8,-1,0,0,-nan(ind),ScoreQuick-9,-1,0,0,-nan(ind),ScoreQuick-10,-1,0,0,-nan(ind),ScoreQuick-11,-1,0,0,-nan(ind)
2,1,20,91,SmallToLarge-1,-1,9,0,inf,SmallToLarge-1,2,19,1,inf,SmallToLarge-2,-1,11,0,inf,LargeToSmall-1,-1,9,0,inf,ClauseSize-1,-1,4,0,inf,ClauseSize-2,-1,2,0,inf,ClauseSize-3,-1,0,0,-nan(ind),ClauseSize-4,-1,0,0,-nan(ind),ClauseSize-5,-1,0,0,-nan(ind),ClauseSize-6,-1,0,0,-nan(ind),ClauseSize-7,-1,0,0,-nan(ind),ClauseSize-8,-1,0,0,-nan(ind),Score-1,-1,0,0,-nan(ind),Score-2,-1,0,0,-nan(ind),Score-3,-1,0,0,-nan(ind),Score-4,-1,0,0,-nan(ind),Score-5,-1,0,0,-nan(ind),Score-6,-1,0,0,-nan(ind),Score-7,-1,0,0,-nan(ind),Score-8,-1,0,0,-nan(ind),Score-9,-1,0,0,-nan(ind),Score-10,-1,0,0,-nan(ind),Score-11,-1,0,0,-nan(ind),ScoreQuick-1,-1,0,0,-nan(ind),ScoreQuick-2,-1,0,0,-nan(ind),ScoreQuick-3,-1,0,0,-nan(ind),ScoreQuick-4,-1,0,0,-nan(ind),ScoreQuick-5,-1,0,0,-nan(ind),ScoreQuick-6,-1,0,0,-nan(ind),ScoreQuick-7,-1,0,0,-nan(ind),ScoreQuick-8,-1,0,0,-nan(ind),ScoreQuick-9,-1,0,0,-nan(ind),ScoreQuick-10,-1,0,0,-nan(ind),ScoreQuick-11,-1,0,0,-nan(ind)
3,1,20,91,SmallToLarge-1,-1,13,0,inf,SmallToLarge-1,2,20,1,inf,SmallToLarge-2,-1,7,0,inf,LargeToSmall-1,-1,8,0,inf,ClauseSize-1,-1,9,0,inf,ClauseSize-2,-1,1,0,inf,ClauseSize-3,-1,1,0,inf,ClauseSize-4,-1,1,0,inf,ClauseSize-5,-1,0,0,-nan(ind),ClauseSize-6,-1,0,0,-nan(ind),ClauseSize-7,-1,0,0,-nan(ind),ClauseSize-8,-1,0,0,-nan(ind),Score-1,-1,0,0,-nan(ind),Score-2,-1,0,0,-nan(ind),Score-3,-1,0,0,-nan(ind),Score-4,-1,0,0,-nan(ind),Score-5,-1,0,0,-nan(ind),Score-6,-1,0,0,-nan(ind),Score-7,-1,0,0,-nan(ind),Score-8,-1,0,0,-nan(ind),Score-9,-1,0,0,-nan(ind),Score-10,-1,0,0,-nan(ind),Score-11,-1,0,0,-nan(ind),ScoreQuick-1,-1,0,0,-nan(ind),ScoreQuick-2,-1,0,0,-nan(ind),ScoreQuick-3,-1,0,0,-nan(ind),ScoreQuick-4,-1,0,0,-nan(ind),ScoreQuick-5,-1,0,0,-nan(ind),ScoreQuick-6,-1,0,0,-nan(ind),ScoreQuick-7,-1,0,0,-nan(ind),ScoreQuick-8,-1,0,0,-nan(ind),ScoreQuick-9,-1,0,0,-nan(ind),ScoreQuick-10,-1,0,0,-nan(ind),ScoreQuick-11,-1,0,0,-nan(ind)
4,1,20,91,SmallToLarge-1,2,50,1,inf,SmallToLarge-1,-1,32,0,inf,SmallToLarge-2,-1,39,0,inf,LargeToSmall-1,-1,42,0,inf,ClauseSize-1,-1,33,0,inf,ClauseSize-2,-1,31,0,inf,ClauseSize-3,-1,31,0,inf,ClauseSize-4,-1,21,0,inf,ClauseSize-5,-1,20,0,inf,ClauseSize-6,-1,0,0,-nan(ind),ClauseSize-7,-1,0,0,-nan(ind),ClauseSize-8,-1,0,0,-nan(ind),Score-1,-1,0,0,-nan(ind),Score-2,-1,0,0,-nan(ind),Score-3,-1,0,0,-nan(ind),Score-4,-1,0,0,-nan(ind),Score-5,-1,0,0,-nan(ind),Score-6,-1,0,0,-nan(ind),Score-7,-1,0,0,-nan(ind),Score-8,-1,0,0,-nan(ind),Score-9,-1,0,0,-nan(ind),Score-10,-1,0,0,-nan(ind),Score-11,-1,0,0,-nan(ind),ScoreQuick-1,-1,0,0,-nan(ind),ScoreQuick-2,-1,0,0,-nan(ind),ScoreQuick-3,-1,0,0,-nan(ind),ScoreQuick-4,-1,0,0,-nan(ind),ScoreQuick-5,-1,0,0,-nan(ind),ScoreQuick-6,-1,0,0,-nan(ind),ScoreQuick-7,-1,0,0,-nan(ind),ScoreQuick-8,-1,0,0,-nan(ind),ScoreQuick-9,-1,0,0,-nan(ind),ScoreQuick-10,-1,0,0,-nan(ind),ScoreQuick-11,-1,0,0,-nan(ind)
5,1,20,91,SmallToLarge-1,-1,12,0,inf,SmallToLarge-1,-1,9,0,inf,SmallToLarge-2,2,21,1,inf,LargeToSmall-1,-1,14,0,inf,ClauseSize-1,-1,11,0,inf,ClauseSize-2,-1,5,0,inf,ClauseSize-3,-1,0,0,-nan(ind),ClauseSize-4,-1,0,0,-nan(ind),ClauseSize-5,-1,0,0,-nan(ind),ClauseSize-6,-1,0,0,-nan(ind),ClauseSize-7,-1,0,0,-nan(ind),ClauseSize-8,-1,0,0,-nan(ind),Score-1,-1,0,0,-nan(ind),Score-2,-1,0,0,-nan(ind),Score-3,-1,0,0,-nan(ind),Score-4,-1,0,0,-nan(ind),Score-5,-1,0,0,-nan(ind),Score-6,-1,0,0,-nan(ind),Score-7,-1,0,0,-nan(ind),Score-8,-1,0,0,-nan(ind),Score-9,-1,0,0,-nan(ind),Score-10,-1,0,0,-nan(ind),Score-11,-1,0,0,-nan(ind),ScoreQuick-1,-1,0,0,-nan(ind),ScoreQuick-2,-1,0,0,-nan(ind),ScoreQuick-3,-1,0,0,-nan(ind),ScoreQuick-4,-1,0,0,-nan(ind),ScoreQuick-5,-1,0,0,-nan(ind),ScoreQuick-6,-1,0,0,-nan(ind),ScoreQuick-7,-1,0,0,-nan(ind),ScoreQuick-8,-1,0,0,-nan(ind),ScoreQuick-9,-1,0,0,-nan(ind),ScoreQuick-10,-1,0,0,-nan(ind),ScoreQuick-11,-1,0,0,-nan(ind)
6,1,20,91,SmallToLarge-1,-1,23,0,inf,SmallToLarge-1,-1,21,0,inf,SmallToLarge-2,-1,21,0,inf,LargeToSmall-1,-1,28,0,inf,ClauseSize-1,-1,22,0,inf,ClauseSize-2,-1,22,0,inf,ClauseSize-3,2,33,1,inf,ClauseSize-4,-1,17,0,inf,ClauseSize-5,-1,21,0,inf,ClauseSize-6,-1,12,0,inf,ClauseSize-7,-1,13,0,inf,ClauseSize-8,-1,0,0,-nan(ind),Score-1,-1,0,0,-nan(ind),Score-2,-1,0,0,-nan(ind),Score-3,-1,0,0,-nan(ind),Score-4,-1,0,0,-nan(ind),Score-5,-1,0,0,-nan(ind),Score-6,-1,0,0,-nan(ind),Score-7,-1,0,0,-nan(ind),Score-8,-1,0,0,-nan(ind),Score-9,-1,0,0,-nan(ind),Score-10,-1,0,0,-nan(ind),Score-11,-1,0,0,-nan(ind),ScoreQuick-1,-1,0,0,-nan(ind),ScoreQuick-2,-1,0,0,-nan(ind),ScoreQuick-3,-1,0,0,-nan(ind),ScoreQuick-4,-1,0,0,-nan(ind),ScoreQuick-5,-1,0,0,-nan(ind),ScoreQuick-6,-1,0,0,-nan(ind),ScoreQuick-7,-1,0,0,-nan(ind),ScoreQuick-8,-1,0,0,-nan(ind),ScoreQuick-9,-1,0,0,-nan(ind),ScoreQuick-10,-1,0,0,-nan(ind),ScoreQuick-11,-1,0,0,-nan(ind)
7,1,20,91,SmallToLarge-1,-1,9,0,inf,SmallToLarge-1,2,19,1,inf,SmallToLarge-2,-1,9,0,inf,LargeToSmall-1,-1,9,0,inf,ClauseSize-1,-1,4,0,inf,ClauseSize-2,-1,6,0,inf,ClauseSize-3,-1,0,0,-nan(ind),ClauseSize-4,-1,0,0,-nan(ind),ClauseSize-5,-1,0,0,-nan(ind),ClauseSize-6,-1,0,0,-nan(ind),ClauseSize-7,-1,0,0,-nan(ind),ClauseSize-8,-1,0,0,-nan(ind),Score-1,-1,0,0,-nan(ind),Score-2,-1,0,0,-nan(ind),Score-3,-1,0,0,-nan(ind),Score-4,-1,0,0,-nan(ind),Score-5,-1,0,0,-nan(ind),Score-6,-1,0,0,-nan(ind),Score-7,-1,0,0,-nan(ind),Score-8,-1,0,0,-nan(ind),Score-9,-1,0,0,-nan(ind),Score-10,-1,0,0,-nan(ind),Score-11,-1,0,0,-nan(ind),ScoreQuick-1,-1,0,0,-nan(ind),ScoreQuick-2,-1,0,0,-nan(ind),ScoreQuick-3,-1,0,0,-nan(ind),ScoreQuick-4,-1,0,0,-nan(ind),ScoreQuick-5,-1,0,0,-nan(ind),ScoreQuick-6,-1,0,0,-nan(ind),ScoreQuick-7,-1,0,0,-nan(ind),ScoreQuick-8,-1,0,0,-nan(ind),ScoreQuick-9,-1,0,0,-nan(ind),ScoreQuick-10,-1,0,0,-nan(ind),ScoreQuick-11,-1,0,0,-nan(ind)
8,1,20,91,SmallToLarge-1,2,20,1,inf,SmallToLarge-1,-1,12,0,inf,SmallToLarge-2,-1,5,0,inf,LargeToSmall-1,-1,3,0,inf,ClauseSize-1,-1,4,0,inf,ClauseSize-2,-1,2,0,inf,ClauseSize-3,-1,0,0,-nan(ind),ClauseSize-4,-1,0,0,-nan(ind),ClauseSize-5,-1,0,0,-nan(ind),ClauseSize-6,-1,0,0,-nan(ind),ClauseSize-7,-1,0,0,-nan(ind),ClauseSize-8,-1,0,0,-nan(ind),Score-1,-1,0,0,-nan(ind),Score-2,-1,0,0,-nan(ind),Score-3,-1,0,0,-nan(ind),Score-4,-1,0,0,-nan(ind),Score-5,-1,0,0,-nan(ind),Score-6,-1,0,0,-nan(ind),Score-7,-1,0,0,-nan(ind),Score-8,-1,0,0,-nan(ind),Score-9,-1,0,0,-nan(ind),Score-10,-1,0,0,-nan(ind),Score-11,-1,0,0,-nan(ind),ScoreQuick-1,-1,0,0,-nan(ind),ScoreQuick-2,-1,0,0,-nan(ind),ScoreQuick-3,-1,0,0,-nan(ind),ScoreQuick-4,-1,0,0,-nan(ind),ScoreQuick-5,-1,0,0,-nan(ind),ScoreQuick-6,-1,0,0,-nan(ind),ScoreQuick-7,-1,0,0,-nan(ind),ScoreQuick-8,-1,0,0,-nan(ind),ScoreQuick-9,-1,0,0,-nan(ind),ScoreQuick-10,-1,0,0,-nan(ind),ScoreQuick-11,-1,0,0,-nan(ind)
9,1,20,91,SmallToLarge-1,-1,23,0,inf,SmallToLarge-1,-1,7,0,inf,SmallToLarge-2,-1,17,0,inf,LargeToSmall-1,-1,18,0,inf,ClauseSize-1,-1,6,0,inf,ClauseSize-2,-1,23,0,inf,ClauseSize-3,2,27,1,inf,ClauseSize-4,-1,17,0,inf,ClauseSize-5,-1,0,0,-nan(ind),ClauseSize-6,-1,0,0,-nan(ind),ClauseSize-7,-1,0,0,-nan(ind),ClauseSize-8,-1,0,0,-nan(ind),Score-1,-1,0,0,-nan(ind),Score-2,-1,0,0,-nan(ind),Score-3,-1,0,0,-nan(ind),Score-4,-1,0,0,-nan(ind),Score-5,-1,0,0,-nan(ind),Score-6,-1,0,0,-nan(ind),Score-7,-1,0,0,-nan(ind),Score-8,-1,0,0,-nan(ind),Score-9,-1,0,0,-nan(ind),Score-10,-1,0,0,-nan(ind),Score-11,-1,0,0,-nan(ind),ScoreQuick-1,-1,0,0,-nan(ind),ScoreQuick-2,-1,0,0,-nan(ind),ScoreQuick-3,-1,0,0,-nan(ind),ScoreQuick-4,-1,0,0,-nan(ind),ScoreQuick-5,-1,0,0,-nan(ind),ScoreQuick-6,-1,0,0,-nan(ind),ScoreQuick-7,-1,0,0,-nan(ind),ScoreQuick-8,-1,0,0,-nan(ind),ScoreQuick-9,-1,0,0,-nan(ind),ScoreQuick-10,-1,0,0,-nan(ind),ScoreQuick-11,-1,0,0,-nan(ind)
10,1,20,91,SmallToLarge-1,-1,14,0,inf,SmallToLarge-1,-1,14,0,inf,SmallToLarge-2,-1,13,0,inf,LargeToSmall-1,-1,20,0,inf,ClauseSize-1,2,25,1,inf,ClauseSize-2,-1,14,0,inf,ClauseSize-3,-1,11,0,inf,ClauseSize-4,-1,6,0,inf,ClauseSize-5,-1,2,0,inf,ClauseSize-6,-1,1,0,inf,ClauseSize-7,-1,0,0,-nan(ind),ClauseSize-8,-1,0,0,-nan(ind),Score-1,-1,0,0,-nan(ind),Score-2,-1,0,0,-nan(ind),Score-3,-1,0,0,-nan(ind),Score-4,-1,0,0,-nan(ind),Score-5,-1,0,0,-nan(ind),Score-6,-1,0,0,-nan(ind),Score-7,-1,0,0,-nan(ind),Score-8,-1,0,0,-nan(ind),Score-9,-1,0,0,-nan(ind),Score-10,-1,0,0,-nan(ind),Score-11,-1,0,0,-nan(ind),ScoreQuick-1,-1,0,0,-nan(ind),ScoreQuick-2,-1,0,0,-nan(ind),ScoreQuick-3,-1,0,0,-nan(ind),ScoreQuick-4,-1,0,0,-nan(ind),ScoreQuick-5,-1,0,0,-nan(ind),ScoreQuick-6,-1,0,0,-nan(ind),ScoreQuick-7,-1,0,0,-nan(ind),ScoreQuick-8,-1,0,0,-nan(ind),ScoreQuick-9,-1,0,0,-nan(ind),ScoreQuick-10,-1,0,0,-nan(ind),ScoreQuick-11,-1,0,0,-nan(ind)
